"Description","Quantity","InvoiceTime","CustomerID","VIEW"
"OTHER_ITEMS",25,11,12621,1
"OTHER_ITEMS",24,11,14016,1
"OTHER_ITEMS",24,12,15522,1
"OTHER_ITEMS",1,14,17812,1
"OTHER_ITEMS",12,15,17758,1
"OTHER_ITEMS",1,11,12748,1
"OTHER_ITEMS",2,16,11111,1
"OTHER_ITEMS",3,13,14449,1
"DECORATION",1,16,11111,1
"OTHER_ITEMS",12,11,17095,1
"OTHER_ITEMS",48,14,17470,1
"OTHER_ITEMS",12,14,13196,1
"OTHER_ITEMS",12,13,15831,1
"OTHER_ITEMS",3,12,16393,1
"OTHER_ITEMS",2,12,16360,1
"OTHER_ITEMS",48,9,17865,1
"OTHER_ITEMS",24,10,13755,1
"OTHER_ITEMS",12,13,17644,1
"OTHER_ITEMS",24,11,16729,1
"OTHER_ITEMS",1,15,17999,1
"OTHER_ITEMS",10,15,14349,1
"OTHER_ITEMS",24,8,16643,1
"OTHER_ITEMS",1,14,14506,1
"OTHER_ITEMS",25,15,13168,1
"OTHER_ITEMS",25,15,13141,1
"OTHER_ITEMS",576,14,17404,1
"OTHER_ITEMS",1,12,17596,1
"OTHER_ITEMS",3,17,11111,1
"OTHER_ITEMS",12,9,12451,1
"OTHER_ITEMS",96,14,16843,1
"OTHER_ITEMS",24,13,14334,1
"GAMES",20,14,17311,1
"OTHER_ITEMS",24,13,14282,1
"OTHER_ITEMS",24,7,14911,1
"BAG",4,12,15034,1
"OTHER_ITEMS",144,14,17596,1
"OTHER_ITEMS",10,12,15555,1
"OTHER_ITEMS",12,12,13800,1
"OTHER_ITEMS",2,11,17832,1
"OTHER_ITEMS",20,16,16040,1
"TRINKET BOX",6,14,16440,1
"OTHER_ITEMS",12,15,13994,1
"OTHER_ITEMS",7,15,11111,1
"OTHER_ITEMS",12,13,13756,1
"OTHER_ITEMS",12,16,14869,1
"OTHER_ITEMS",5,13,12577,1
"OTHER_ITEMS",36,11,17827,1
"OTHER_ITEMS",25,16,13451,1
"OTHER_ITEMS",24,13,14139,1
"OTHER_ITEMS",12,13,14234,1
"OTHER_ITEMS",12,11,12877,1
"OTHER_ITEMS",25,9,12471,1
"OTHER_ITEMS",12,13,15704,1
"OTHER_ITEMS",24,11,13209,1
"OTHER_ITEMS",2,13,14587,1
"OTHER_ITEMS",12,16,15601,1
"OTHER_ITEMS",24,13,18016,1
"OTHER_ITEMS",5,14,16340,1
"OTHER_ITEMS",24,13,12626,1
"OTHER_ITEMS",2,12,14159,1
"OTHER_ITEMS",12,10,12620,1
"OTHER_ITEMS",1,16,17757,1
"OTHER_ITEMS",1,10,16931,1
"OTHER_ITEMS",12,10,14911,1
"OTHER_ITEMS",6,12,14178,1
"OTHER_ITEMS",6,13,15356,1
"OTHER_ITEMS",12,14,15640,1
"OTHER_ITEMS",6,12,16931,1
"OTHER_ITEMS",48,14,15831,1
"OTHER_ITEMS",5,11,17387,1
"OTHER_ITEMS",16,15,17651,1
"OTHER_ITEMS",2,16,14382,1
"OTHER_ITEMS",48,12,16701,1
"OTHER_ITEMS",25,14,15069,1
"OTHER_ITEMS",12,15,17377,1
"OTHER_ITEMS",1,11,15877,1
"OTHER_ITEMS",48,12,17147,1
"OTHER_ITEMS",5,14,18013,1
"TRINKET BOX",22,14,13271,1
"DECORATION",48,12,12913,1
"OTHER_ITEMS",36,13,14407,1
"OTHER_ITEMS",12,10,15853,1
"METAL SIGNS",13,14,15856,1
"OTHER_ITEMS",12,10,14911,1
"OTHER_ITEMS",25,17,17839,1
"OTHER_ITEMS",25,10,16142,1
"OTHER_ITEMS",108,14,13805,1
"OTHER_ITEMS",25,12,14606,1
"OTHER_ITEMS",25,11,13209,1
"OTHER_ITEMS",12,14,15104,1
"OTHER_ITEMS",5,15,11111,1
"OTHER_ITEMS",25,12,12501,1
"OTHER_ITEMS",1,13,13558,1
"OTHER_ITEMS",1,11,15919,1
"GAMES",6,16,16348,1
"DECORATION",6,13,14174,1
"CAKE CASE",240,15,14911,1
"OTHER_ITEMS",36,11,14862,1
"OTHER_ITEMS",25,15,13867,1
"OTHER_ITEMS",12,9,15858,1
"OTHER_ITEMS",25,8,14936,1
"OTHER_ITEMS",96,13,16394,1
"OTHER_ITEMS",1,13,17841,1
"OTHER_ITEMS",1,12,17841,1
"OTHER_ITEMS",12,13,13354,1
"OTHER_ITEMS",5,11,18036,1
"OTHER_ITEMS",1,15,13421,1
"OTHER_ITEMS",4,17,14156,1
"OTHER_ITEMS",1,16,15436,1
"OTHER_ITEMS",48,10,15603,1
"CAKE STAND",2,12,14071,1
"OTHER_ITEMS",1,16,15436,1
"DECORATION",24,14,14643,1
"OTHER_ITEMS",17,16,11111,1
"OTHER_ITEMS",2,11,14701,1
"DECORATION",48,12,15301,1
"OTHER_ITEMS",24,12,12841,1
"OTHER_ITEMS",50,15,13600,1
"DECORATION",12,13,14796,1
"OTHER_ITEMS",24,12,16729,1
"GAMES",2,10,15443,1
"OTHER_ITEMS",16,10,15752,1
"OTHER_ITEMS",4,17,11111,1
"OTHER_ITEMS",2,12,12637,1
"OTHER_ITEMS",1,10,11111,1
"DECORATION",48,12,16076,1
"OTHER_ITEMS",1,13,17585,1
"OTHER_ITEMS",12,10,15529,1
"OTHER_ITEMS",25,17,14105,1
"OTHER_ITEMS",25,14,17475,1
"OTHER_ITEMS",48,14,14032,1
"OTHER_ITEMS",12,13,13700,1
"OTHER_ITEMS",1,17,17189,1
"OTHER_ITEMS",8,12,15579,1
"OTHER_ITEMS",4,12,18096,1
"OTHER_ITEMS",24,15,15114,1
"OTHER_ITEMS",2,13,14711,1
"OTHER_ITEMS",24,13,13527,1
"BAG",24,12,15750,1
"OTHER_ITEMS",25,14,12991,1
"OTHER_ITEMS",25,11,14175,1
"OTHER_ITEMS",2,14,16348,1
"OTHER_ITEMS",4,14,13184,1
"OTHER_ITEMS",1,12,15021,1
"OTHER_ITEMS",6,13,16686,1
"OTHER_ITEMS",24,15,14534,1
"OTHER_ITEMS",12,16,17231,1
"OTHER_ITEMS",20,13,16415,1
"OTHER_ITEMS",25,12,11111,1
"OTHER_ITEMS",6,11,15529,1
"OTHER_ITEMS",11,14,16049,1
"OTHER_ITEMS",24,12,15144,1
"OTHER_ITEMS",480,19,13694,1
"OTHER_ITEMS",12,17,17870,1
"OTHER_ITEMS",12,11,17841,1
"OTHER_ITEMS",25,8,15651,1
"OTHER_ITEMS",6,13,12484,1
"OTHER_ITEMS",72,12,14646,1
"OTHER_ITEMS",10,16,13601,1
"OTHER_ITEMS",1,19,13230,1
"OTHER_ITEMS",12,10,17147,1
"OTHER_ITEMS",25,12,17238,1
"OTHER_ITEMS",6,13,14796,1
"OTHER_ITEMS",1,15,17999,1
"OTHER_ITEMS",4,12,14159,1
"OTHER_ITEMS",4,16,11111,1
"OTHER_ITEMS",12,9,11111,1
"OTHER_ITEMS",16,11,16919,1
"DECORATION",10,15,16813,1
"OTHER_ITEMS",24,12,13343,1
"OTHER_ITEMS",25,15,12748,1
"OTHER_ITEMS",12,16,18069,1
"DECORATION",36,8,14426,1
"OTHER_ITEMS",24,15,15241,1
"OTHER_ITEMS",12,16,15555,1
"OTHER_ITEMS",14,12,17238,1
"OTHER_ITEMS",3,13,16283,1
"OTHER_ITEMS",1,13,16549,1
"DECORATION",48,18,15194,1
"OTHER_ITEMS",25,11,12748,1
"OTHER_ITEMS",12,13,17644,1
"OTHER_ITEMS",3,15,13263,1
"TRINKET BOX",48,9,12462,1
"CAKE CASE",1200,9,13027,1
"OTHER_ITEMS",1,15,11111,1
"OTHER_ITEMS",2,15,15644,1
"OTHER_ITEMS",1,16,16049,1
"OTHER_ITEMS",12,15,17571,1
"OTHER_ITEMS",288,16,18179,1
"OTHER_ITEMS",6,11,15005,1
"OTHER_ITEMS",6,13,14159,1
"OTHER_ITEMS",50,17,16722,1
"OTHER_ITEMS",12,15,12377,1
"PHOTO FRAME",5,16,14093,1
"OTHER_ITEMS",48,14,14911,1
"JAM SET",12,11,14159,1
"OTHER_ITEMS",24,12,13102,1
"OTHER_ITEMS",1,15,16898,1
"BAG",12,15,16611,1
"OTHER_ITEMS",48,11,16841,1
"OTHER_ITEMS",12,12,13394,1
"OTHER_ITEMS",144,11,13798,1
"OTHER_ITEMS",1,16,17315,1
"OTHER_ITEMS",12,15,12867,1
"OTHER_ITEMS",25,9,17491,1
